Back to Contents,Data 1: Import Volumes,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,N9100US2,N9102US2,N9102CN2,N9102MX2,N9103US2,N9103AG2,N9103AU2,N9103BX2,NGM_EPG0_NUS-NCA_IML_MMCF,N9103EG2,NGM_EPG0_NUS-NEK_IML_MMCF,NGM_EPG0_IML_NUS-NFR_MMCF,N9103ID2,NGM_EPG0_IML_NUS-NJM_MMCF,N9103MY2,N9103NG2,NGM_EPG0_NUS-NNO_IML_MMCF,N9103MU2,NGM_EPG0_NUS-NPE_IML_MMCF,N9103QR2,N9103TD2,N9103UA2,NGM_EPG0_IML_NUS-NUK_MMCF,NGM_EPG0_IML_NUS-NYE_MMCF,N9103982,NGM_EPG0_INC_NUS-Z00_MMCF,NGM_EPG0_INC_NUS-NCA_MMCF
Date,U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Natural Gas Pipeline Imports From Canada (MMcf),U.S. Natural Gas Pipeline Imports From Mexico (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Liquefied Natural Gas Imports From Algeria (MMcf),U.S. Liquefied Natural Gas Imports From Australia (MMcf),U.S. Liquefied Natural Gas Imports From Brunei (MMcf),U.S. Liquefied Natural Gas Imports From Canada (MMcf),U.S. Liquefied Natural Gas Imports From Egypt (MMcf),U.S. Liquefied Natural Gas Imports From Equatorial Guinea (MMcf),U.S. Liquefied Natural Gas Imports From France (MMcf),U.S. Liquefied Natural Gas Imports From Indonesia (MMcf),U.S. Liquefied Natural Gas Imports from Jamaica (Million Cubic Feet),U.S. Liquefied Natural Gas Imports From Malaysia (MMcf),U.S. Liquefied Natural Gas Imports From Nigeria (MMcf),U.S. Liquefied Natural Gas Imports From Norway (MMcf),U.S. Liquefied Natural Gas Imports From Oman (MMcf),U.S. Liquefied Natural Gas Imports From Peru (MMcf),U.S. Liquefied Natural Gas Imports From Qatar (MMcf),U.S. Liquefied Natural Gas Imports From Trinidad and Tobago (MMcf),U.S. Liquefied Natural Gas Imports From The United Arab Emirates (MMcf),U.S. Liquefied Natural Gas Imports From United Kingdom (MMcf),U.S. Liquefied Natural Gas Imports From Yemen (MMcf),U.S. Liquefied Natural Gas Imports From Other Countries (MMcf),Compressed U.S. Natural Gas Imports (Million Cubic Feet),Compressed U.S. Natural Gas Imports from Canada (Million Cubic Feet)
Jan-1973,92694,,92519,97,,78,0,,,,,,,,,,,,,,,0,,,,,
Feb-1973,83870,,83616,174,,81,0,,,,,,,,,,,,,,,0,,,,,
Mar-1973,91581,,91230,270,,81,0,,,,,,,,,,,,,,,0,,,,,
Apr-1973,88407,,88107,219,,81,0,,,,,,,,,,,,,,,0,,,,,
May-1973,85844,,85712,132,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1973,79121,,78993,127,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1973,79428,,79428,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1973,84400,,84360,40,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1973,81157,,81086,71,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1973,92151,,89881,236,,2034,0,,,,,,,,,,,,,,,0,,,,,
Nov-1973,85784,,84677,74,,1033,0,,,,,,,,,,,,,,,0,,,,,
Dec-1973,88466,,88274,192,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1974,85815,,85729,86,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1974,78919,,78845,74,,0,0,,,,,,,,,,,,,,,0,,,,,
Mar-1974,85190,,85165,25,,0,0,,,,,,,,,,,,,,,0,,,,,
Apr-1974,83371,,83341,30,,0,0,,,,,,,,,,,,,,,0,,,,,
May-1974,79764,,79757,7,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1974,74245,,74245,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1974,73247,,73247,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1974,76037,,76037,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1974,70511,,70511,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1974,82625,,82625,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Nov-1974,83107,,83107,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Dec-1974,86454,,86454,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1975,80824,,80824,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1975,74496,,74496,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Mar-1975,83380,,83380,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Apr-1975,82132,,82132,0,,0,0,,,,,,,,,,,,,,,0,,,,,
May-1975,79818,,79818,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1975,76307,,76307,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1975,80037,,77972,0,,2065,0,,,,,,,,,,,,,,,0,,,,,
Aug-1975,75311,,74263,0,,1049,0,,,,,,,,,,,,,,,0,,,,,
Sep-1975,73606,,72849,0,,757,0,,,,,,,,,,,,,,,0,,,,,
Oct-1975,80468,,80468,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Nov-1975,80761,,80761,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Dec-1975,85867,,84845,0,,1021,0,,,,,,,,,,,,,,,0,,,,,
Jan-1976,84395,,83363,0,,1032,0,,,,,,,,,,,,,,,0,,,,,
Feb-1976,78024,,78024,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Mar-1976,84910,,83887,0,,1023,0,,,,,,,,,,,,,,,0,,,,,
Apr-1976,85940,,83882,0,,2058,0,,,,,,,,,,,,,,,0,,,,,
May-1976,81650,,81650,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1976,75785,,75785,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1976,73108,,72502,0,,606,0,,,,,,,,,,,,,,,0,,,,,
Aug-1976,76539,,75174,0,,1365,0,,,,,,,,,,,,,,,0,,,,,
Sep-1976,74125,,73110,0,,1015,0,,,,,,,,,,,,,,,0,,,,,
Oct-1976,85257,,83226,0,,2031,0,,,,,,,,,,,,,,,0,,,,,
Nov-1976,80926,,79901,0,,1026,0,,,,,,,,,,,,,,,0,,,,,
Dec-1976,83110,,83110,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1977,86944,,86944,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1977,91751,,89195,791,,1765,0,,,,,,,,,,,,,,,0,,,,,
Mar-1977,100826,,97764,1406,,1656,0,,,,,,,,,,,,,,,0,,,,,
Apr-1977,84474,,82672,187,,1616,0,,,,,,,,,,,,,,,0,,,,,
May-1977,85697,,84659,0,,1038,0,,,,,,,,,,,,,,,0,,,,,
Jun-1977,76247,,75191,0,,1056,0,,,,,,,,,,,,,,,0,,,,,
Jul-1977,72499,,71444,0,,1055,0,,,,,,,,,,,,,,,0,,,,,
Aug-1977,76453,,75397,0,,1056,0,,,,,,,,,,,,,,,0,,,,,
Sep-1977,75446,,75446,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1977,84828,,83780,0,,1048,0,,,,,,,,,,,,,,,0,,,,,
Nov-1977,86300,,85266,0,,1034,0,,,,,,,,,,,,,,,0,,,,,
Dec-1977,89536,,89536,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1978,85796,,85796,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1978,77256,,76224,0,,1033,0,,,,,,,,,,,,,,,0,,,,,
Mar-1978,85621,,82111,0,,3510,0,,,,,,,,,,,,,,,0,,,,,
Apr-1978,78313,,76225,0,,2088,0,,,,,,,,,,,,,,,0,,,,,
May-1978,73829,,71362,0,,2467,0,,,,,,,,,,,,,,,0,,,,,
Jun-1978,68327,,63001,0,,5326,0,,,,,,,,,,,,,,,0,,,,,
Jul-1978,71557,,64341,0,,7216,0,,,,,,,,,,,,,,,0,,,,,
Aug-1978,73604,,65504,0,,8100,0,,,,,,,,,,,,,,,0,,,,,
Sep-1978,73236,,63975,0,,9260,0,,,,,,,,,,,,,,,0,,,,,
Oct-1978,80197,,66674,0,,13524,0,,,,,,,,,,,,,,,0,,,,,
Nov-1978,90783,,77802,0,,12981,0,,,,,,,,,,,,,,,0,,,,,
Dec-1978,107026,,88108,0,,18918,0,,,,,,,,,,,,,,,0,,,,,
Jan-1979,102237,,89736,0,,12501,0,,,,,,,,,,,,,,,0,,,,,
Feb-1979,96612,,81027,0,,15585,0,,,,,,,,,,,,,,,0,,,,,
Mar-1979,112962,,85894,0,,27068,0,,,,,,,,,,,,,,,0,,,,,
Apr-1979,105864,,82831,0,,23033,0,,,,,,,,,,,,,,,0,,,,,
May-1979,104317,,78150,0,,26167,0,,,,,,,,,,,,,,,0,,,,,
Jun-1979,100633,,77039,0,,23594,0,,,,,,,,,,,,,,,0,,,,,
Jul-1979,103754,,76885,0,,26869,0,,,,,,,,,,,,,,,0,,,,,
Aug-1979,96985,,73374,0,,23611,0,,,,,,,,,,,,,,,0,,,,,
Sep-1979,97936,,70355,0,,27581,0,,,,,,,,,,,,,,,0,,,,,
Oct-1979,107418,,89991,0,,17428,0,,,,,,,,,,,,,,,0,,,,,
Nov-1979,114564,,97258,0,,17307,0,,,,,,,,,,,,,,,0,,,,,
Dec-1979,110099,,98235,0,,11864,0,,,,,,,,,,,,,,,0,,,,,
Jan-1980,118006,,94010,4920,,19076,0,,,,,,,,,,,,,,,0,,,,,
Feb-1980,108192,,81583,7829,,18780,0,,,,,,,,,,,,,,,0,,,,,
Mar-1980,108648,,74766,9370,,24512,0,,,,,,,,,,,,,,,0,,,,,
Apr-1980,77257,,55636,9390,,12231,0,,,,,,,,,,,,,,,0,,,,,
May-1980,70207,,59789,9216,,1202,0,,,,,,,,,,,,,,,0,,,,,
Jun-1980,61256,,52720,8536,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1980,60600,,51649,8951,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1980,59966,,50522,9444,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1980,60190,,51187,9003,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1980,74355,,63005,8828,,2522,0,,,,,,,,,,,,,,,0,,,,,
Nov-1980,88279,,77761,7922,,2596,0,,,,,,,,,,,,,,,0,,,,,
Dec-1980,97806,,83876,9000,,4930,0,,,,,,,,,,,,,,,0,,,,,
Jan-1981,91149,,81047,10102,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1981,84706,,71281,8899,,4526,0,,,,,,,,,,,,,,,0,,,,,
Mar-1981,79820,,68906,9140,,1774,0,,,,,,,,,,,,,,,0,,,,,
Apr-1981,69337,,55185,9176,,4976,0,,,,,,,,,,,,,,,0,,,,,
May-1981,62377,,51764,7959,,2654,0,,,,,,,,,,,,,,,0,,,,,
Jun-1981,64923,,54800,7839,,2284,0,,,,,,,,,,,,,,,0,,,,,
Jul-1981,66184,,53346,7881,,4957,0,,,,,,,,,,,,,,,0,,,,,
Aug-1981,64450,,53652,8186,,2612,0,,,,,,,,,,,,,,,0,,,,,
Sep-1981,67316,,55442,9274,,2600,0,,,,,,,,,,,,,,,0,,,,,
Oct-1981,79204,,67988,8611,,2605,0,,,,,,,,,,,,,,,0,,,,,
Nov-1981,81940,,68267,8445,,5228,0,,,,,,,,,,,,,,,0,,,,,
Dec-1981,92544,,80436,9500,,2608,0,,,,,,,,,,,,,,,0,,,,,
Jan-1982,98077,,86654,8801,,2622,0,,,,,,,,,,,,,,,0,,,,,
Feb-1982,85337,,75214,7632,,2491,0,,,,,,,,,,,,,,,0,,,,,
Mar-1982,81648,,69898,6754,,4996,0,,,,,,,,,,,,,,,0,,,,,
Apr-1982,71591,,62061,7007,,2523,0,,,,,,,,,,,,,,,0,,,,,
May-1982,65324,,55443,7369,,2512,0,,,,,,,,,,,,,,,0,,,,,
Jun-1982,61213,,51223,7503,,2487,0,,,,,,,,,,,,,,,0,,,,,
Jul-1982,66839,,53166,8613,,5060,0,,,,,,,,,,,,,,,0,,,,,
Aug-1982,60809,,52694,8115,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1982,65515,,52803,7625,,5087,0,,,,,,,,,,,,,,,0,,,,,
Oct-1982,76522,,66306,7722,,2494,0,,,,,,,,,,,,,,,0,,,,,
Nov-1982,90532,,72843,8187,,9502,0,,,,,,,,,,,,,,,0,,,,,
Dec-1982,109928,,85101,9464,,15363,0,,,,,,,,,,,,,,,0,,,,,
Jan-1983,112108,,85695,8969,,17444,0,,,,,,,,,,,,,,,0,,,,,
Feb-1983,94673,,71320,8113,,15239,0,,,,,,,,,,,,,,,0,,,,,
Mar-1983,85912,,62761,8468,,14683,0,,,,,,,,,,,,,,,0,,,,,
Apr-1983,73644,,56084,5487,,12072,0,,,,,,,,,,,,,,,0,,,,,
May-1983,61135,,47889,5618,,7629,0,,,,,,,,,,,,,,,0,,,,,
Jun-1983,58866,,40723,5439,,12704,0,,,,,,,,,,,,,,,0,,,,,
Jul-1983,58094,,42213,5616,,10265,0,,,,,,,,,,,,,,,0,,,,,
Aug-1983,55511,,44719,5618,,5173,0,,,,,,,,,,,,,,,0,,,,,
Sep-1983,66866,,51918,5435,,9513,0,,,,,,,,,,,,,,,0,,,,,
Oct-1983,64236,,52716,5611,,5909,0,,,,,,,,,,,,,,,0,,,,,
Nov-1983,80498,,64908,5427,,10163,0,,,,,,,,,,,,,,,0,,,,,
Dec-1983,106865,,90977,5559,,10330,0,,,,,,,,,,,,,,,0,,,,,
Jan-1984,97339,,89342,4646,,3350,0,,,,,,,,,,,,,,,0,,,,,
Feb-1984,68900,,61794,3736,,3371,0,,,,,,,,,,,,,,,0,,,,,
Mar-1984,69161,,61094,4681,,3386,0,,,,,,,,,,,,,,,0,,,,,
Apr-1984,71215,,59944,5201,,6070,0,,,,,,,,,,,,,,,0,,,,,
May-1984,65967,,56969,5605,,3394,0,,,,,,,,,,,,,,,0,,,,,
Jun-1984,59292,,50474,5415,,3403,0,,,,,,,,,,,,,,,0,,,,,
Jul-1984,55459,,47228,5596,,2635,0,,,,,,,,,,,,,,,0,,,,,
Aug-1984,54104,,48502,5602,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1984,56831,,51410,5421,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1984,65822,,57613,5598,,2610,0,,,,,,,,,,,,,,,0,,,,,
Nov-1984,84502,,79178,0,,5323,0,,,,,,,,,,,,,,,0,,,,,
Dec-1984,94469,,91820,0,,2649,0,,,,,,,,,,,,,,,0,,,,,
Jan-1985,103893,,101217,0,,2675,0,,,,,,,,,,,,,,,0,,,,,
Feb-1985,99497,,94204,0,,5292,0,,,,,,,,,,,,,,,0,,,,,
Mar-1985,89554,,86882,0,,2672,0,,,,,,,,,,,,,,,0,,,,,
Apr-1985,75513,,72831,0,,2682,0,,,,,,,,,,,,,,,0,,,,,
May-1985,73439,,71148,0,,2291,0,,,,,,,,,,,,,,,0,,,,,
Jun-1985,65422,,62735,0,,2687,0,,,,,,,,,,,,,,,0,,,,,
Jul-1985,59497,,56822,0,,2676,0,,,,,,,,,,,,,,,0,,,,,
Aug-1985,60519,,60519,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1985,63268,,60584,0,,2684,0,,,,,,,,,,,,,,,0,,,,,
Oct-1985,75802,,75802,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Nov-1985,77078,,77078,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Dec-1985,106233,,106232,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1986,99415,,99415,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1986,74182,,74182,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Mar-1986,54684,,54684,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Apr-1986,42512,,42512,0,,0,0,,,,,,,,,,,,,,,0,,,,,
May-1986,52179,,52179,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1986,44427,,44427,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1986,48382,,48382,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1986,50580,,50580,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1986,54479,,54479,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1986,68628,,68628,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Nov-1986,70483,,70483,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Dec-1986,90497,,88828,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1987,100779,,100779,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Feb-1987,83911,,83911,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Mar-1987,85778,,85778,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Apr-1987,68486,,68486,0,,0,0,,,,,,,,,,,,,,,0,,,,,
May-1987,61422,,61422,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1987,57709,,57709,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1987,66211,,66211,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1987,74702,,74702,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1987,72837,,72837,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1987,93094,,93094,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Nov-1987,107092,,107092,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Dec-1987,120510,,120510,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jan-1988,137865,,132746,0,,5119,0,,,,,,,,,,,,,,,0,,,,,
Feb-1988,116223,,116223,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Mar-1988,111816,,109287,0,,2529,0,,,,,,,,,,,,,,,0,,,,,
Apr-1988,94722,,94722,0,,0,0,,,,,,,,,,,,,,,0,,,,,
May-1988,93370,,93370,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1988,93165,,93165,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jul-1988,99844,,99844,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1988,95434,,95434,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1988,95861,,95861,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Oct-1988,106884,,102078,0,,4806,0,,,,,,,,,,,,,,,0,,,,,
Nov-1988,120685,,118176,0,,2509,0,,,,,,,,,,,,,,,0,,,,,
Dec-1988,127943,,125415,0,,2528,0,,,,,,,,,,,,,,,0,,,,,
Jan-1989,119269,,114244,0,,5025,0,,,,,,,,,,,,,,,0,,,,,
Feb-1989,110218,,107676,0,,2542,0,,,,,,,,,,,,,,,0,,,,,
Mar-1989,113196,,110525,0,,2670,0,,,,,,,,,,,,,,,0,,,,,
Apr-1989,110335,,107811,0,,2525,0,,,,,,,,,,,,,,,0,,,,,
May-1989,107980,,102908,0,,5072,0,,,,,,,,,,,,,,,0,,,,,
Jun-1989,103706,,101177,0,,2529,0,,,,,,,,,,,,,,,0,,,,,
Jul-1989,101486,,99287,0,,2199,0,,,,,,,,,,,,,,,0,,,,,
Aug-1989,107770,,105486,0,,2284,0,,,,,,,,,,,,,,,0,,,,,
Sep-1989,116763,,112023,0,,4740,0,,,,,,,,,,,,,,,0,,,,,
Oct-1989,122663,,120134,0,,2529,0,,,,,,,,,,,,,,,0,,,,,
Nov-1989,123159,,118118,0,,5041,0,,,,,,,,,,,,,,,0,,,,,
Dec-1989,144973,,139967,0,,5006,0,,,,,,,,,,,,,,,0,,,,,
Jan-1990,140176,,129943,0,,10233,0,,,,,,,,,,,,,,,0,,,,,
Feb-1990,117576,,107333,0,,10243,0,,,,,,,,,,,,,,,0,,,,,
Mar-1990,115979,,108243,0,,7736,0,,,,,,,,,,,,,,,0,,,,,
Apr-1990,123360,,113218,0,,10142,0,,,,,,,,,,,,,,,0,,,,,
May-1990,122917,,117807,0,,5110,0,,,,,,,,,,,,,,,0,,,,,
Jun-1990,117009,,114442,0,,2568,0,,,,,,,,,,,,,,,0,,,,,
Jul-1990,119686,,114640,0,,5046,0,,,,,,,,,,,,,,,0,,,,,
Aug-1990,118485,,113380,0,,5105,0,,,,,,,,,,,,,,,0,,,,,
Sep-1990,119523,,114444,0,,5079,0,,,,,,,,,,,,,,,0,,,,,
Oct-1990,141974,,136910,0,,5065,0,,,,,,,,,,,,,,,0,,,,,
Nov-1990,139691,,129463,0,,10227,0,,,,,,,,,,,,,,,0,,,,,
Dec-1990,155884,,148243,0,,7641,0,,,,,,,,,,,,,,,0,,,,,
Jan-1991,163448,,155805,0,,7643,0,,,,,,,,,,,,,,,0,,,,,
Feb-1991,137998,,132962,0,,5035,0,,,,,,,,,,,,,,,0,,,,,
Mar-1991,151487,,146383,0,,5105,0,,,,,,,,,,,,,,,0,,,,,
Apr-1991,143955,,138833,0,,5122,0,,,,,,,,,,,,,,,0,,,,,
May-1991,141292,,136202,0,,5091,0,,,,,,,,,,,,,,,0,,,,,
Jun-1991,133264,,130701,0,,2562,0,,,,,,,,,,,,,,,0,,,,,
Jul-1991,134859,,129768,0,,5091,0,,,,,,,,,,,,,,,0,,,,,
Aug-1991,127139,,127139,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Sep-1991,133934,,131345,0,,2589,0,,,,,,,,,,,,,,,0,,,,,
Oct-1991,156635,,146489,0,,10146,0,,,,,,,,,,,,,,,0,,,,,
Nov-1991,168718,,163605,0,,5113,0,,,,,,,,,,,,,,,0,,,,,
Dec-1991,180585,,170485,0,,10099,0,,,,,,,,,,,,,,,0,,,,,
Jan-1992,164636,,157026,0,,7610,0,,,,,,,,,,,,,,,0,,,,,
Feb-1992,175243,,170167,0,,5076,0,,,,,,,,,,,,,,,0,,,,,
Mar-1992,180482,,177978,0,,2503,0,,,,,,,,,,,,,,,0,,,,,
Apr-1992,176146,,173615,0,,2531,0,,,,,,,,,,,,,,,0,,,,,
May-1992,174312,,174312,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Jun-1992,162249,,159743,0,,2505,0,,,,,,,,,,,,,,,0,,,,,
Jul-1992,167216,,167216,0,,0,0,,,,,,,,,,,,,,,0,,,,,
Aug-1992,174733,,172240,0,,2492,0,,,,,,,,,,,,,,,0,,,,,
Sep-1992,166117,,163584,0,,2533,0,,,,,,,,,,,,,,,0,,,,,
Oct-1992,176466,,173904,0,,2563,0,,,,,,,,,,,,,,,0,,,,,
Nov-1992,210479,,202846,0,,7633,0,,,,,,,,,,,,,,,0,,,,,
Dec-1992,209426,,201756,0,,7670,0,,,,,,,,,,,,,,,0,,,,,
Jan-1993,200070,,194929,0,,5141,0,,,,,,,,,,,,,,,0,,,,,
Feb-1993,190711,,183057,0,,7654,0,,,,,,,,,,,,,,,0,,,,,
Mar-1993,204415,,199269,0,,5146,0,,,,,,,,,,,,,,,0,,,,,
Apr-1993,188666,,180946,0,,7720,0,,,,,,,,,,,,,,,0,,,,,
